,Brand,Generic,Uses
12,abilify mycite,Aripiprazole,"This product is a combination of aripiprazole tablets and a patch. Each tablet has an embedded sensor, and the patch detects the signal from the tablet sensor. You will use it with a smartphone application (app). Your health care professional or caregiver will also be able to see data from the tablet sensor in a web-based portal. Aripiprazole is used to treat certain mental/mood disorders (such as bipolar disorder, schizophrenia, Tourette's syndrome, and irritability associated with autistic disorder). It may also be used in combination with other medication to treat depression. Aripiprazole is known as an antipsychotic drug (atypical type). It works by helping to restore the balance of certain natural chemicals in the brain (neurotransmitters). This medication can decrease hallucinations and improve your concentration. It helps you to think more clearly and positively about yourself, feel less nervous, and take a more active part in everyday life. Aripiprazole can treat severe mood swings and decrease how often mood swings occur."
13,abiraterone acetate,Abiraterone Acetate,"This medication is used to treat prostate cancer. Abiraterone belongs to a class of drugs known as anti-androgens (anti-testosterone). Testosterone, a natural hormone, helps prostate cancer to grow and spread. Abiraterone works by blocking the production of testosterone, thereby slowing the growth and spread of prostate cancer. This medication should not be given to women or children."
14,abraxane,Paclitaxel Protein-Bound,"This medication is used to treat certain cancers (including breast, lung, and pancreatic cancer). Paclitaxel belongs to a class of drugs known as chemotherapy drugs. It works by slowing or stopping the growth of cancer cells."
15,absorica,Isotretinoin,"This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring."
16,absorica ld,"Isotretinoin, Micronized","This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring."
17,acamprosate calcium,Acamprosate Calcium,"This medication is used along with counseling and support to help people who are alcohol dependent not drink alcohol. Acamprosate works by restoring the natural balance of chemicals in the brain (neurotransmitters). Before starting this medication, you should no longer be drinking alcohol. Acamprosate has not been shown to work well if you are still drinking alcohol when you start taking it."
18,acanya,Clindamycin Phos/Benzoyl Perox,"This combination medication is used to treat a certain type of acne (inflammatory acne vulgaris). It helps to decrease the number of acne pimples. Clindamycin is an antibiotic that stops the growth of acne-causing bacteria. Benzoyl peroxide can also stop the growth of bacteria as well as reduce oil production in the skin, helping keep your pores open."
19,acarbose,Acarbose,"Acarbose is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Acarbose works in your intestines to slow the breakdown and absorption of carbohydrates from foods that you eat. This effect helps lessen your blood sugar rise after a meal."
20,accolate,Zafirlukast,"Zafirlukast is used to control and prevent symptoms (such as wheezing and shortness of breath) caused by asthma. Controlling symptoms of asthma helps you maintain your normal activities and cuts down on time lost from work or school. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, salbutamol) as prescribed."
21,accuneb,Albuterol Sulfate,Albuterol (also known as salbutamol) is used to treat wheezing and shortness of breath caused by breathing problems such as asthma. It is a quick-relief medication. Albuterol belongs to a class of drugs known as bronchodilators. It works by relaxing the muscles around the airways so that they open up and you can breathe more easily. Controlling symptoms of breathing problems can decrease time lost from work or school.
22,accupril,Quinapril HCl,"Quinapril is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This medication is also used to treat heart failure. Quinapril belongs to a class of drugs known as ACE inhibitors. It works by relaxing blood vessels so blood can flow more easily."
23,acebutolol hcl,Acebutolol HCl,"Acebutolol is used to treat high blood pressure and irregular heartbeat (arrhythmia). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Treating irregular heartbeat helps the heart work better and with less strain. Irregular heartbeats can be serious and may sometimes even lead to a heart attack. This medication belongs to a class of drugs known as beta blockers. It works by blocking the action of certain natural substances in your body, such as epinephrine, on the heart and blood vessels. This effect lowers heart rate, blood pressure, and strain on the heart."
24,acephen,Acetaminophen,"This drug is used to treat mild to moderate pain (from headaches, menstrual periods, toothaches, backaches, osteoarthritis, or cold/flu aches and pains) and to reduce fever."
25,acetadote,Acetylcysteine,Drug uses not available
26,acetamin-caff-dihydrocodeine,Acetaminophen/Caff/Dihydrocod,"See also Warning section. This combination medication is used to help relieve moderate to severe pain. It contains an opioid pain reliever (dihydrocodeine), a non-opioid pain reliever (acetaminophen), and caffeine. Dihydrocodeine works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever. Caffeine increases pain relief, especially for certain types of headaches."
27,acetaminophen*,Acetaminophen,"This drug is used to treat mild to moderate pain (from headaches, menstrual periods, toothaches, backaches, osteoarthritis, or cold/flu aches and pains) and to reduce fever."
28,acetaminophen-codeine,Acetaminophen With Codeine,See also Warning section. This combination medication is used to help relieve mild to moderate pain. It contains an opioid pain reliever (codeine) and a non-opioid pain reliever (acetaminophen). Codeine works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever.
29,acetazolamide,Acetazolamide,"Acetazolamide is used to prevent and reduce the symptoms of altitude sickness. This medication can decrease headache, tiredness, nausea, dizziness, and shortness of breath that can occur when you climb quickly to high altitudes (generally above 10,000 feet/3,048 meters). It is particularly useful in situations when you cannot make a slow ascent. The best ways to prevent altitude sickness are climbing slowly, stopping for 24 hours during the climb to allow the body to adjust to the new height, and taking it easy the first 1 to 2 days. This medication is also used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures)."
30,acetazolamide er,Acetazolamide,"Acetazolamide is used to prevent and reduce the symptoms of altitude sickness. This medication can decrease headache, tiredness, nausea, dizziness, and shortness of breath that can occur when you climb quickly to high altitudes (generally above 10,000 feet/3,048 meters). It is particularly useful in situations when you cannot make a slow ascent. The best ways to prevent altitude sickness are climbing slowly, stopping for 24 hours during the climb to allow the body to adjust to the new height, and taking it easy the first 1 to 2 days. This medication is also used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures)."
31,acetazolamide sodium,Acetazolamide Sodium,"This medication is used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures)."
32,acetic acid*,Acetic Acid,Acetic acid is used to treat an outer ear infection (external otitis). It works by stopping the growth of bacteria and fungus. Treating the infection reduces pain and swelling in the ear. Wetness in the ear canal can help bacteria and fungus to grow. This medication may also contain drying ingredients such as glycerin or alcohol. Drying of the ear canal helps to cure the infection.
33,acetylcysteine*,Acetylcysteine,"When inhaled by mouth, acetylcysteine is used to help thin and loosen mucus in the airways due to certain lung diseases (such as emphysema, bronchitis, cystic fibrosis, pneumonia). This effect helps you to clear the mucus from your lungs so that you can breathe easier. When taken by mouth, acetylcysteine is used to prevent liver damage from acetaminophen overdose."
34,acidophilus,L. Acidophilus/Lactobac Spor,Drug uses not available
35,acidophilus-pectin,"L. Acidophilus/Pectin, Citrus",Drug uses not available
36,aciphex,Rabeprazole Sodium,"Rabeprazole is used to treat certain stomach and esophagus problems (such as acid reflux, ulcers). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and persistent cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Rabeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs)."
37,aciphex sprinkle,Rabeprazole Sodium,"Rabeprazole is used to treat certain stomach and esophagus problems (such as acid reflux, ulcers). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and persistent cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Rabeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs)."
38,acitretin,Acitretin,This medication is a retinoid used in the treatment of severe psoriasis and other skin disorders in adults.
39,actemra*,Tocilizumab,"This medication is used alone or with other medications to treat moderate to severe rheumatoid arthritis in adults. It is also used to treat rheumatoid arthritis in children (such as systemic juvenile idiopathic arthritis-SJIA, polyarticular juvenile idiopathic arthritis-PJIA). It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab may also be used to treat a reaction (Cytokine Release Syndrome-CRS) caused by certain cancer treatments. Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation)."
40,actemra actpen,Tocilizumab,"This medication is used alone or with other medications to treat moderate to severe rheumatoid arthritis in adults. It is also used to treat rheumatoid arthritis in children (such as polyarticular juvenile idiopathic arthritis-PJIA, systemic juvenile idiopathic arthritis-SJIA). It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab is used to treat giant cell arteritis. It helps to reduce swelling in your blood vessels so blood can flow more easily. This medication is also used to slow down the decrease in lung function in people with a certain type of lung disease (systemic sclerosis-associated interstitial lung disease - SSc-ILD). Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation)."
41,acthar,Corticotropin,"This medication is used to treat a certain type of seizure in children (infantile spasms). This medication is also used to treat conditions such as multiple sclerosis, arthritis, lupus, eye conditions, skin/kidney/lung diseases, and immune system disorders. It decreases your immune system's response to various diseases to reduce symptoms such as swelling, pain, and allergic-type reactions. Corticotropin is a hormone."
42,acthrel,Corticorelin Ovine Triflutate,Drug uses not available
43,actigall,Ursodiol,"Ursodiol is used to dissolve certain types of gallstones, to prevent gallstones from forming in obese patients who are losing weight rapidly, and to treat a certain type of liver disease (primary biliary cholangitis). Ursodiol is a bile acid."
44,actimmune,"Interferon Gamma-1b,Recomb.","This medication is used to reduce the frequency and severity of serious infections due to chronic granulomatous disease, a disorder that runs in families. This drug is often used along with antibiotics to help prevent these serious infections. This medication is also used to slow the worsening of malignant osteopetrosis, another disorder that runs in families, that affects bones, nerves, and blood. This medication is the same as a protein that your body naturally produces (interferon). In the body, it is thought to work by affecting cell function/growth and the body's natural defenses (immune system) in many ways. Adding more interferon may help your body fight off serious infections."
45,actiq,Fentanyl Citrate,"This medication is used to help relieve sudden (breakthrough) cancer pain in people who are regularly taking moderate to large amounts of opioid pain medication. Fentanyl belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. This medication should not be used to relieve mild or short-term pain (such as due to headache/migraine, dental procedures, surgery)."
46,activase,Alteplase,Drug uses not available
47,active fe,"Iron,Carbonyl/Folic Acid/Mv-Mn","This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
48,activella,Estradiol/Norethindrone Acet,"This medication contains 2 female hormones: an estrogen (such as conjugated estrogen, estradiol) and a progestin (such as medroxyprogesterone, norethindrone, norgestimate). It is used by women to help reduce symptoms of menopause (such as hot flashes, vaginal dryness). These symptoms are caused by the body making less estrogen. The progestin in this medication helps to reduce the risk of cancer of the uterus which can be caused by using estrogen. Women who have had their uterus removed do not need the progestin and therefore should not use this combination medication. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women after menopause to prevent bone loss (osteoporosis). However, there are other medications (such as raloxifene, bisphosphonates including alendronate) that are also effective in preventing bone loss and may be safer. These medications should be considered for use before estrogen/progestin treatment."
49,actonel,Risedronate Sodium,"Risedronate is used to prevent and treat certain types of bone loss (osteoporosis) in adults. Osteoporosis causes bones to become thinner and break more easily. Your chance of developing osteoporosis increases as you age, after menopause, or if you are taking corticosteroid medications (such as prednisone) for a long time. This medication works by slowing bone loss to help maintain strong bones and reduce the risk of broken bones (fractures). Risedronate belongs to a class of medications called bisphosphonates."
50,actos,Pioglitazone HCl,"Pioglitazone is a diabetes drug (thiazolidinedione-type, also called ""glitazones"") used along with a proper diet and exercise program to control high blood sugar in patients with type 2 diabetes. It works by helping to restore your body's proper response to insulin, thereby lowering your blood sugar. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone is used either alone or in combination with other diabetes medications (such as metformin or a sulfonylurea such as glyburide). Talk to your doctor about the risks and benefits of pioglitazone."
51,acular,Ketorolac Tromethamine,This medication is used to temporarily relieve itching eyes caused by seasonal allergies. It is also used to prevent and treat eye swelling due to a certain type of eye surgery (cataract removal). Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling.
52,acuvail,Ketorolac Tromethamine/PF,This medication is used to treat eye pain and swelling (inflammation) after cataract surgery. Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling.
53,acyclovir*,Acyclovir,"Acyclovir is used to treat infections caused by certain types of viruses. It treats cold sores around the mouth (caused by herpes simplex), shingles (caused by herpes zoster), and chickenpox. This medication is also used to treat outbreaks of genital herpes. In people with frequent outbreaks, acyclovir is used to help reduce the number of future episodes. Acyclovir is an antiviral drug. However, it is not a cure for these infections. The viruses that cause these infections continue to live in the body even between outbreaks. Acyclovir decreases the severity and length of these outbreaks. It helps the sores heal faster, keeps new sores from forming, and decreases pain/itching. This medication may also help reduce how long pain remains after the sores heal. In addition, in people with a weakened immune system, acyclovir can decrease the risk of the virus spreading to other parts of the body and causing serious infections."
54,acyclovir sodium,Acyclovir Sodium,"This medication is used in certain people to treat outbreaks of herpes simplex infection of the skin (such as on the genitals), mucous membrane areas (such as the mouth, nose), or brain. It is also used in certain people to treat shingles infection. The viruses that cause these infections live in the body quietly until an outbreak occurs. Acyclovir does not cure these infections, but can speed healing of the sores, decrease pain/itching/formation of new sores, and lower the risk of other problems from the virus (e.g., infection spreading to other parts of the body/organs, persistent pain after sores heal)."
55,aczone,Dapsone,This medication is used to treat acne. It helps decrease the number and severity of acne pimples and helps pimples that do develop to heal more quickly. Dapsone is an antibiotic. It is not known how dapsone works to treat acne.
56,adacel tdap,"Diph,Pertuss(Acell),Tet Vac/PF","This vaccine is used to keep up protection (immunity) against diphtheria, tetanus (lockjaw) and pertussis (whooping cough) in children and adults who have been vaccinated for these diseases in the past. Vaccination is the best way to protect against these life-threatening diseases. Vaccines work by causing the body to produce its own protection (antibodies). Booster doses are needed to keep up immunity because antibody levels may become too low over time to provide the needed protection."
57,adakveo,Crizanlizumab-Tmca,Drug uses not available
58,adapalene,Adapalene,This medication is used to treat acne. It may decrease the number and severity of acne pimples and promote quick healing of pimples that do develop. Adapalene belongs to a class of medications called retinoids. It works by affecting the growth of cells and decreasing swelling and inflammation.
59,adapalene-benzoyl peroxide,Adapalene/Benzoyl Peroxide,This medication is used on the skin to treat acne. This medication is a combination of adapalene (a retinoid) and benzoyl peroxide (an antibiotic and skin-peeling agent). This product may decrease the number and severity of acne pimples and promote quick healing of pimples that do appear. Adapalene works by affecting the growth of cells and decreasing swelling and inflammation. Benzoyl peroxide works by reducing the amount of acne-causing bacteria and by causing the skin to dry and peel off..
60,adcetris,Brentuximab Vedotin,"Brentuximab is used to treat certain types of cancers (Hodgkin's lymphoma, systemic anaplastic large cell lymphoma, peripheral T-cell lymphoma, primary cutaneous anaplastic large cell lymphoma, CD30-expressing mycosis fungoides). It works by slowing or stopping the growth of cancer cells."
61,adcirca,Tadalafil,Tadalafil is used to treat high blood pressure in the lungs (pulmonary hypertension). It works by relaxing and widening the blood vessels in your lungs which allows the blood to flow more easily. Decreasing high blood pressure in the lungs allows your heart and lungs to work better and improves your ability to exercise.
62,adderall,Dextroamphetamine/Amphetamine,"This combination medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine/dextroamphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. This drug is also used to treat a certain sleeping disorder (narcolepsy) to help you stay awake during the day. It should not be used to treat tiredness or to hold off sleep in people who do not have a sleep disorder."
63,adderall xr,Dextroamphetamine/Amphetamine,"This combination medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine/dextroamphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills."
64,adefovir dipivoxil,Adefovir Dipivoxil,"This medication is used to treat a chronic viral infection of the liver (hepatitis B) in people 12 years of age and older. It works by slowing the growth of the virus, helping to lower the amount of virus in your body. It is not a cure for hepatitis B and does not prevent the passing of hepatitis B to others. This medication is a nucleotide analog."
65,adempas,Riociguat,Riociguat is used to treat high blood pressure in the lungs (pulmonary hypertension). It can also be used to treat a certain type of high blood pressure in the lungs caused by blood clots (chronic thromboembolic pulmonary hypertension) when surgery has not been fully successful or is impossible. Riociguat works by relaxing and widening the blood vessels in your lungs so blood can flow more easily. Decreasing high blood pressure in the lungs allows your heart and lungs to work better and improves your ability to exercise.
66,adenocard,Adenosine,Drug uses not available
67,adenoscan,Adenosine,Drug uses not available
68,adenosine,Adenosine,Drug uses not available
69,adhansia xr,Methylphenidate HCl,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Methylphenidate belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills."
70,adhesive tape,Adhesive Tape,Drug uses not available
71,adlyxin,Lixisenatide,"Lixisenatide is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Lixisenatide is similar to a natural hormone in your body (incretin). It works by causing insulin release in response to high sugar levels (such as after a meal) and decreasing the amount of sugar your liver makes. Lixisenatide is not a substitute for insulin if you require insulin treatment."
72,admelog,Insulin Lispro,"Insulin lispro is used with a proper diet and exercise program to control high blood sugar in people with diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Insulin lispro is a man-made product that is similar to human insulin. It replaces the insulin that your body would normally make. Insulin lispro starts working faster and lasts for a shorter time than regular insulin. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication is usually used with a medium- or long-acting insulin product. Insulin lispro may also be used with other oral diabetes medications (such as sulfonylureas like glyburide or glipizide)."
73,admelog solostar,Insulin Lispro,"Insulin lispro is used with a proper diet and exercise program to control high blood sugar in people with diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Insulin lispro is a man-made product that is similar to human insulin. It replaces the insulin that your body would normally make. Insulin lispro starts working faster and lasts for a shorter time than regular insulin. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication is usually used with a medium- or long-acting insulin product. Insulin lispro may also be used with other oral diabetes medications (such as sulfonylureas like glyburide or glipizide)."
74,adrenalin,Epinephrine,Drug uses not available
75,adrenalin chloride,Epinephrine HCl,Drug uses not available
76,adriamycin,Doxorubicin HCl,Doxorubicin is an anthracycline type of chemotherapy that is used to treat several different types of cancer. Doxorubicin works by slowing or stopping the growth of cancer cells.
77,adrucil,Fluorouracil,Fluorouracil is used to treat various types of cancer. It is a chemotherapy drug that is used to slow or stop cancer cell growth. You should be tested for a DPD enzyme deficiency before you start treatment with fluorouracil. Ask your doctor for more details.
78,advair diskus,Fluticasone Propion/Salmeterol,"This product is used to control and prevent symptoms (wheezing and shortness of breath) caused by asthma or ongoing lung disease (chronic obstructive pulmonary disease-COPD, which includes chronic bronchitis and emphysema). It contains 2 medications: fluticasone and salmeterol. Fluticasone belongs to a class of drugs known as corticosteroids. It works by reducing the irritation and swelling of the airways. Salmeterol belongs to the class of drugs known as long-acting beta agonists. It works by relaxing the muscles around the airways so that they open up and you can breathe more easily. Controlling symptoms of breathing problems can decrease time lost from work or school. When used alone, long-acting beta agonists (such as salmeterol) may rarely increase the risk of serious (sometimes fatal) asthma-related breathing problems. However, combination inhaled corticosteroid and long-acting beta agonists, such as this product, do not increase the risk of serious asthma-related breathing problems. For asthma treatment, this product should be used when breathing problems are not well controlled with one asthma-control medication (such as inhaled corticosteroid) or if your symptoms need combination treatment. Before using this medication, it is important to learn how to use it properly. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, also called salbutamol in some countries) as prescribed."
